transaction_id,cart_size,transaction_amount,transaction_type,transaction_status,customer_age_group,session_duration,time_spent_on_payment_page,customer_ip_location,card_expiration_delay,payment_method,login_status,time_since_account_creation,ip_address_previous_transactions,user_segment,product_views_during_session,visit_origin,device_type,flag
3029445,1,45,product,complete,36-45,,,local,12,creditcard,logged-in,80,2,AE1R,,,,0
3005799,2,89,product,pending,36-45,10.71,32.45,local,17,creditcard,logged-in,279,0,I7IW,10.0,email,mobile,0
3052219,1,73,product,complete,,11.41,27.94,local,15,creditcard,logged-in,296,0,NZ9Z,6.0,search engine,desktop,0
3094451,2,70,product,complete,,12.18,23.67,local,21,creditcard,logged-in,692,0,928S,6.0,paid,mobile,0
3203503,2,78,product,complete,,24.05,,local,-1,3rd party,guest,-99999,0,,4.0,search engine,mobile,0
3052409,3,92,product,complete,,30.29,,local,-1,4x,logged-in,192,0,AE1R,4.0,direct,desktop,0
3006638,1,44,product,complete,36-45,7.01,39.83,local,23,creditcard,logged-in,466,0,3R3T,8.0,direct,mobile,0
3154575,1,48,product,complete,,6.99,29.02,local,17,creditcard,guest,-99999,0,,7.0,email,desktop,0
3085746,1,45,product,complete,,12.11,39.16,local,13,creditcard,logged-in,1186,0,M0BQ,6.0,direct,desktop,0
3135451,3,155,product,complete,,24.14,25.14,eu,17,creditcard,guest,-99999,1,,7.0,direct,mobile,0
3071715,1,40,product,complete,18-25,12.76,,local,-1,instore,logged-in,0,0,,5.0,direct,app,0
3245887,1,79,product,complete,18-25,9.48,29.43,local,11,creditcard,logged-in,392,0,HQTL,4.0,direct,app,0
3287394,2,120,product,complete,36-45,16.9,38.87,local,13,creditcard,logged-in,-99999,1,,6.0,direct,app,0
3058699,1,50,product,complete,,11.38,34.25,local,19,creditcard,guest,-99999,0,,10.0,search engine,desktop,1
3094188,1,38,product,complete,,7.19,,local,-1,3rd party,guest,-99999,0,,8.0,direct,mobile,0
3115717,1,70,product,complete,18-25,7.5600000000000005,29.76,local,16,creditcard,logged-in,465,0,928S,5.0,email,app,0
3081983,2,75,product,complete,,24.57,40.57,local,22,creditcard,guest,-99999,1,,7.0,search engine,desktop,0
3148735,1,55,product,complete,26-35,13.56,19.36,non-eu/unknown,19,creditcard,logged-in,341,0,GK4Z,4.0,search engine,desktop,1
3059612,1,59,product,complete,36-45,8.1,29.76,local,15,creditcard,logged-in,0,0,,3.0,direct,mobile,0
3122117,1,38,product,complete,,8.63,24.58,non-eu/unknown,13,creditcard,logged-in,0,0,,5.0,direct,mobile,0
3045477,1,54,product,complete,,8.0,26.71,eu,14,creditcard,guest,-99999,0,,4.0,search engine,mobile,0
3044514,1,29,product,complete,,8.02,,eu,-1,4x,guest,-99999,1,,5.0,direct,mobile,0
3124968,1,82,product,complete,,11.01,34.11,local,13,creditcard,logged-in,0,1,,6.0,search engine,mobile,0
3134557,3,107,product,complete,,33.3,,local,-1,3rd party,logged-in,0,0,,8.0,search engine,mobile,0
3289037,3,178,product,complete,26-35,21.04,30.07,local,24,creditcard,logged-in,595,3,NZ9Z,8.0,paid,mobile,0
3267026,2,131,service,complete,,12.34,,local,-1,instore,guest,-99999,0,,3.0,direct,desktop,0
3213198,3,158,product,complete,18-25,36.19,,local,-1,4x,logged-in,-99999,0,,6.0,direct,app,0
3202746,2,118,product,complete,,21.13,45.22,local,20,creditcard,guest,-99999,0,,5.0,search engine,mobile,1
3003278,2,74,product,complete,56+,20.35,,non-eu/unknown,-1,4x,logged-in,0,2,,10.0,search engine,desktop,0
3229977,2,160,product,pending,,13.71,,local,-2,3rd party,guest,-99999,1,,2.0,direct,app,0
3252688,3,154,product,complete,,30.97,21.18,local,19,creditcard,logged-in,717,0,M0BQ,7.0,email,desktop,0
3057905,1,39,service,complete,,4.78,34.98,local,22,creditcard,guest,-99999,0,,6.0,email,desktop,0
3229066,2,73,product,complete,,12.56,36.87,local,26,creditcard,guest,-99999,0,,7.0,search engine,mobile,0
3117201,1,68,product,complete,,7.43,,non-eu/unknown,-1,instore,logged-in,0,0,,3.0,paid,mobile,0
3193274,3,204,product,complete,26-35,,,local,-1,4x,logged-in,-99999,0,,,,,0
3259098,2,98,product,complete,,22.21,20.07,non-eu/unknown,22,creditcard,guest,-99999,0,,5.0,search engine,desktop,0
3011746,3,121,product,complete,18-25,15.55,28.29,local,19,creditcard,logged-in,0,1,,6.0,paid,app,0
3032979,1,41,product,complete,,13.55,25.07,local,13,creditcard,logged-in,1146,1,T76E,3.0,search engine,desktop,0
3115706,2,113,product,complete,,6.13,21.91,local,19,creditcard,logged-in,0,0,,9.0,search engine,desktop,0
3236495,3,232,product,complete,,33.67,25.36,local,11,creditcard,guest,-99999,0,,2.0,direct,mobile,1
3176809,3,208,product,complete,,33.25,30.85,local,19,creditcard,guest,-99999,0,,5.0,direct,mobile,0
3138354,1,48,product,complete,18-25,,,eu,-1,instore,logged-in,278,1,LMYN,,,,0
3243867,2,110,product,complete,26-35,26.44,,eu,-1,4x,logged-in,393,1,Q7Y0,7.0,search engine,mobile,0
3220804,1,24,product,complete,26-35,9.68,39.32,local,18,creditcard,logged-in,-99999,1,,5.0,search engine,app,0
3173893,1,60,product,complete,26-35,8.49,,local,-1,instore,logged-in,177,0,,2.0,search engine,desktop,0
3084718,2,65,product,complete,,22.7,41.51,local,20,creditcard,guest,-99999,1,,8.0,direct,mobile,0
3254364,3,132,product,complete,,30.44,26.16,local,18,creditcard,guest,-99999,1,,6.0,direct,mobile,0
3262391,1,45,product,complete,26-35,8.09,,local,-1,3rd party,logged-in,390,1,T76E,7.0,direct,desktop,0
3138151,1,68,product,complete,,11.24,,non-eu/unknown,-1,creditcard,guest,-99999,1,,2.0,search engine,mobile,1
3219604,2,154,product,complete,26-35,18.34,,local,-1,instore,logged-in,698,1,3R3T,4.0,search engine,mobile,0
3048265,1,47,product,complete,36-45,6.37,30.49,local,11,3rd party,guest,192,0,6QZP,2.0,paid,mobile,1
3212959,1,55,product,complete,56+,8.05,25.45,eu,16,creditcard,logged-in,1302,0,Y8Z7,6.0,email,desktop,0
3104179,1,26,product,complete,,7.21,,local,-1,3rd party,logged-in,580,1,UPET,6.0,direct,desktop,0
3053857,3,91,product,complete,,24.0,34.98,local,19,creditcard,guest,-99999,1,,6.0,email,mobile,0
3111309,2,88,service,complete,,28.73,,local,-1,4x,guest,-99999,1,,7.0,email,mobile,0
3085996,3,109,product,complete,,18.78,,local,-1,3rd party,guest,-99999,0,,6.0,direct,mobile,0
3159567,1,54,product,complete,,10.62,,local,-1,4x,guest,-99999,0,,11.0,direct,desktop,0
3267235,2,82,product,complete,18-25,16.5,44.05,local,16,creditcard,logged-in,-99999,0,,6.0,search engine,app,0
3143431,2,109,product,complete,,24.3,25.68,eu,22,creditcard,guest,-99999,0,,6.0,search engine,desktop,0
3135441,1,77,product,complete,,8.43,28.84,eu,19,creditcard,guest,-99999,1,,6.0,direct,mobile,0
3171338,1,66,product,pending,,7.8,19.92,local,15,creditcard,logged-in,836,0,3R3T,7.0,direct,desktop,0
3018831,3,102,product,complete,56+,30.67,,local,-1,3rd party,guest,-99999,0,,7.0,direct,app,0
3059337,2,97,product,complete,26-35,,,eu,16,creditcard,logged-in,0,1,,,,,0
3111013,2,98,product,complete,36-45,22.91,22.87,local,22,creditcard,logged-in,-99999,0,,5.0,email,app,0
3069338,3,186,product,complete,,15.79,32.11,non-eu/unknown,21,creditcard,guest,-99999,0,,4.0,paid,mobile,0
3159054,4,198,product,complete,,36.06,33.12,local,24,creditcard,guest,-99999,1,,3.0,search engine,mobile,0
3242172,1,31,product,complete,,6.51,,local,-1,3rd party,guest,-99999,2,,9.0,direct,mobile,0
3222253,2,127,product,complete,,12.44,36.78,non-eu/unknown,16,creditcard,guest,-99999,1,,7.0,direct,mobile,0
3040476,2,67,product,complete,,22.83,38.61,eu,18,creditcard,guest,-99999,0,,4.0,direct,mobile,0
3133392,1,66,service,complete,18-25,,,local,24,creditcard,logged-in,0,1,,,,,0
3282267,3,127,product,complete,,21.1,27.81,local,22,creditcard,logged-in,977,0,Q7Y0,5.0,direct,desktop,0
3243821,2,125,product,complete,46-55,28.48,,local,-1,3rd party,logged-in,0,0,,10.0,direct,desktop,0
3007509,2,102,product,complete,36-45,,,local,19,creditcard,logged-in,532,0,I7IW,,,,0
3225708,2,85,product,complete,,22.92,29.68,local,13,creditcard,guest,-99999,0,,4.0,direct,desktop,0
3015527,2,58,product,complete,,14.47,23.5,local,18,creditcard,logged-in,339,0,WZWX,2.0,email,desktop,0
3059084,4,204,product,complete,26-35,59.84,,local,0,creditcard,logged-in,411,1,NZ9Z,2.0,search engine,mobile,1
3028337,2,99,product,complete,26-35,18.77,,local,-1,4x,logged-in,0,1,,10.0,direct,mobile,0
3064986,1,61,product,complete,26-35,6.22,30.35,local,19,creditcard,logged-in,1006,0,NZ9Z,4.0,search engine,mobile,0
3184648,1,72,service,complete,,7.88,51.16,non-eu/unknown,28,4x,guest,-99999,2,,2.0,paid,app,1
3061411,2,79,product,complete,,20.02,34.23,local,12,creditcard,guest,-99999,0,,7.0,direct,mobile,0
3256072,2,129,product,complete,36-45,8.74,31.74,local,22,creditcard,logged-in,0,1,,7.0,direct,desktop,0
3105477,1,62,product,complete,,10.65,,local,-2,creditcard,guest,-99999,1,,9.0,search engine,desktop,1
3116091,3,204,product,complete,26-35,21.56,,local,-1,instore,logged-in,-99999,0,,6.0,direct,app,0
3170409,3,78,product,complete,46-55,13.72,21.4,local,15,creditcard,logged-in,228,1,T76E,3.0,email,desktop,1
3103375,2,92,product,complete,36-45,16.15,23.58,eu,14,creditcard,logged-in,204,0,TZOP,7.0,paid,mobile,1
3006177,2,143,product,complete,,,,local,-2,4x,logged-in,773,0,M0BQ,,,,1
3237414,1,46,product,complete,,7.96,30.65,local,23,creditcard,guest,-99999,0,,7.0,paid,mobile,0
3073378,2,55,product,complete,,12.09,40.42,local,21,creditcard,guest,-99999,0,,6.0,direct,mobile,0
3131917,4,159,product,complete,36-45,48.34,36.49,local,13,creditcard,logged-in,114,0,TZOP,5.0,direct,app,0
3085151,1,36,product,complete,26-35,7.49,27.79,local,13,creditcard,logged-in,661,0,928S,11.0,search engine,mobile,0
3086011,1,47,product,complete,18-25,7.91,21.44,local,15,creditcard,logged-in,231,1,M0BQ,8.0,search engine,mobile,0
3094726,4,163,product,complete,,36.29,,local,-1,3rd party,logged-in,319,0,HACU,10.0,paid,mobile,0
3108123,2,92,product,complete,26-35,14.26,32.42,eu,29,creditcard,logged-in,0,1,,5.0,direct,desktop,0
3257759,2,131,product,complete,,16.66,31.8,local,12,creditcard,logged-in,391,0,JYYA,6.0,search engine,mobile,0
3267345,1,48,product,pending,,9.32,17.52,local,21,creditcard,guest,-99999,2,,8.0,direct,mobile,0
3282289,1,42,product,complete,,10.84,42.48,local,20,creditcard,guest,-99999,0,,4.0,paid,desktop,0
3297697,1,59,product,complete,26-35,,,eu,20,creditcard,logged-in,369,0,JYYA,,,,0
3292035,2,138,product,complete,,6.64,,local,-1,instore,logged-in,641,0,JYYA,4.0,paid,mobile,0
3230402,2,66,product,complete,,14.98,34.78,local,18,creditcard,logged-in,479,2,OTLH,6.0,direct,mobile,0
3238869,1,33,product,complete,,10.12,26.98,local,12,creditcard,guest,-99999,2,,6.0,paid,mobile,0
3152534,1,56,product,complete,36-45,6.71,21.76,local,17,creditcard,logged-in,914,1,T76E,5.0,search engine,mobile,0
3076532,1,40,product,complete,18-25,8.54,30.4,local,21,creditcard,logged-in,700,1,I7IW,6.0,search engine,desktop,0
3247026,1,60,product,complete,36-45,7.91,27.94,local,21,creditcard,logged-in,0,0,,3.0,paid,desktop,0
3054554,2,144,product,complete,,20.83,34.93,non-eu/unknown,16,creditcard,logged-in,517,2,3R3T,6.0,paid,desktop,0
3112891,3,168,product,complete,,48.16,,local,-1,instore,logged-in,889,0,,9.0,direct,mobile,0
3026191,2,121,product,complete,,14.98,,local,-1,3rd party,guest,-99999,1,,4.0,direct,desktop,0
3158696,1,50,product,complete,,,,non-eu/unknown,21,creditcard,logged-in,440,0,HQTL,,,,0
3019344,1,68,product,complete,,7.35,25.91,local,22,creditcard,guest,-99999,0,,6.0,search engine,mobile,0
3063078,1,64,product,complete,46-55,7.01,,non-eu/unknown,-1,instore,logged-in,691,0,X254,14.0,paid,app,0
3172534,3,175,product,complete,46-55,33.35,32.05,local,30,creditcard,logged-in,640,1,HACU,8.0,search engine,desktop,0
3106558,3,134,product,complete,,24.54,,local,-1,instore,guest,-99999,0,,2.0,direct,desktop,0
3219392,2,87,product,complete,,16.55,,eu,-1,instore,guest,-99999,0,,6.0,direct,mobile,0
3294857,2,99,product,complete,,28.82,32.39,local,16,creditcard,guest,-99999,0,,4.0,direct,mobile,0
3159505,1,79,product,complete,,13.53,30.32,local,17,creditcard,guest,-99999,0,,7.0,direct,mobile,0
3288495,2,149,product,complete,46-55,23.17,32.62,eu,27,creditcard,logged-in,299,0,PTLP,8.0,email,desktop,1
3005416,2,97,product,complete,,12.41,35.66,local,19,creditcard,logged-in,778,1,3R3T,6.0,search engine,desktop,0
3162181,3,147,product,complete,26-35,48.08,36.44,local,27,4x,logged-in,1765,1,T76E,4.0,direct,desktop,1
3015459,1,58,product,complete,,11.95,,local,-1,instore,logged-in,0,0,,4.0,direct,desktop,0
3240878,1,44,product,complete,,6.64,24.66,local,25,creditcard,guest,-99999,0,,8.0,email,desktop,0
3197176,3,180,product,complete,,30.92,,local,-1,4x,guest,-99999,0,,2.0,paid,mobile,0
3218735,2,122,product,complete,,16.76,25.46,local,19,creditcard,guest,-99999,0,,13.0,email,mobile,0
3208256,1,64,product,complete,,6.5600000000000005,25.06,local,24,creditcard,guest,-99999,0,,3.0,paid,desktop,0
3004897,3,77,product,complete,,42.47,,local,-1,4x,guest,-99999,0,,5.0,search engine,mobile,0
3183976,4,194,product,complete,,32.55,40.34,eu,19,creditcard,guest,-99999,0,,5.0,search engine,mobile,0
3018881,3,206,product,complete,,30.2,,local,-1,instore,logged-in,674,2,Q7Y0,7.0,search engine,mobile,0
3175553,2,156,product,complete,26-35,18.49,30.56,non-eu/unknown,21,creditcard,logged-in,0,0,,4.0,direct,mobile,0
3237002,1,24,product,complete,56+,5.61,26.09,local,24,creditcard,logged-in,-99999,0,,3.0,direct,app,0
3281067,2,128,product,complete,,18.07,28.38,local,21,creditcard,guest,-99999,0,,8.0,direct,mobile,0
3149931,2,125,product,pending,26-35,12.43,,local,-1,instore,logged-in,0,1,,6.0,search engine,app,0
3087332,1,30,product,complete,36-45,9.16,28.19,local,20,creditcard,logged-in,565,1,3R3T,5.0,search engine,desktop,0
3036276,2,134,product,complete,,16.27,36.99,local,18,creditcard,guest,-99999,1,,9.0,direct,desktop,0
3140047,1,16,product,complete,,7.32,34.89,non-eu/unknown,20,creditcard,guest,-99999,0,,11.0,direct,desktop,0
3087037,2,72,product,complete,,14.2,20.24,eu,20,creditcard,logged-in,482,0,HACU,7.0,direct,mobile,0
3124555,2,104,product,complete,,14.63,,local,-1,instore,logged-in,772,0,ME7O,7.0,direct,mobile,0
3146524,2,105,product,complete,36-45,18.05,36.33,local,17,creditcard,logged-in,0,1,,4.0,paid,mobile,0
3065015,2,60,service,complete,,22.59,,local,-1,4x,guest,-99999,1,,3.0,direct,mobile,0
3139399,2,102,product,complete,,28.13,26.21,local,19,creditcard,guest,-99999,1,,7.0,search engine,mobile,0
3022587,1,68,product,complete,,7.19,38.89,local,21,creditcard,logged-in,0,2,,7.0,email,mobile,0
3012008,1,39,product,complete,,9.1,29.53,local,16,creditcard,guest,-99999,1,,5.0,paid,desktop,0
3268968,3,112,product,complete,,21.31,23.01,local,18,creditcard,logged-in,735,2,I7IW,8.0,email,mobile,0
3213524,1,76,product,complete,,14.03,31.77,local,17,creditcard,guest,-99999,0,,7.0,search engine,desktop,0
3158486,1,83,product,complete,,5.48,26.71,local,12,creditcard,guest,-99999,0,,6.0,paid,mobile,0
3074902,1,46,service,complete,,10.29,21.81,local,6,creditcard,logged-in,0,0,,6.0,direct,desktop,0
3025968,1,46,product,complete,,13.3,39.51,local,19,creditcard,logged-in,520,1,Q7Y0,7.0,direct,desktop,0
3155463,1,75,product,complete,,4.43,,local,-1,creditcard,guest,-99999,0,,8.0,search engine,desktop,1
3156626,1,19,product,complete,26-35,9.06,32.95,local,13,creditcard,logged-in,339,1,T76E,7.0,direct,app,0
3018546,2,119,product,complete,,14.34,33.17,eu,17,creditcard,logged-in,749,0,T76E,7.0,direct,mobile,0
3281728,1,40,product,complete,,10.74,22.68,local,15,creditcard,guest,-99999,0,,12.0,paid,mobile,0
3103776,1,39,product,complete,,11.1,32.07,local,20,creditcard,logged-in,0,0,,5.0,paid,desktop,0
3188559,2,42,product,complete,36-45,18.68,25.68,local,25,creditcard,logged-in,851,1,HQTL,4.0,paid,app,0
3259139,1,47,product,complete,,10.31,35.34,local,13,3rd party,guest,-99999,1,,3.0,paid,mobile,1
3222625,2,61,product,complete,,18.73,,non-eu/unknown,-1,4x,guest,-99999,1,,5.0,search engine,mobile,0
3051299,1,28,product,complete,18-25,11.29,37.28,local,15,creditcard,logged-in,670,1,GK4Z,7.0,search engine,app,0
3014153,1,78,product,complete,,12.06,35.51,local,21,creditcard,logged-in,419,1,HACU,6.0,direct,mobile,1
3278714,1,70,product,complete,,4.62,22.33,local,23,creditcard,logged-in,880,2,LMYN,5.0,paid,mobile,0
3290762,1,49,product,complete,18-25,9.48,30.66,local,20,creditcard,logged-in,627,1,UJ8H,3.0,direct,mobile,0
3122758,1,35,service,complete,26-35,7.05,22.1,eu,25,creditcard,logged-in,675,2,I7IW,5.0,paid,app,0
3074179,1,39,product,complete,,11.49,27.81,eu,14,creditcard,guest,-99999,1,,5.0,search engine,mobile,0
3040391,1,62,product,complete,26-35,11.69,,local,-1,instore,logged-in,-99999,1,,6.0,direct,app,0
3210348,1,75,product,complete,,8.78,19.82,local,21,creditcard,logged-in,0,1,,5.0,search engine,mobile,0
3272904,3,174,product,complete,,27.03,28.32,local,18,creditcard,guest,-99999,0,,11.0,direct,mobile,0
3135564,1,59,product,complete,46-55,15.73,34.96,local,13,creditcard,logged-in,300,0,LMYN,7.0,search engine,desktop,0
3178176,1,69,product,complete,26-35,9.4,27.16,local,13,3rd party,logged-in,0,0,,6.0,direct,mobile,1
3033673,2,96,product,complete,,10.95,,non-eu/unknown,-1,3rd party,logged-in,616,0,HACU,6.0,direct,mobile,0
3021163,2,92,product,complete,,14.36,24.02,local,16,4x,logged-in,210,1,HXJI,2.0,paid,mobile,1
3063762,1,44,product,complete,,11.3,,local,-1,instore,guest,-99999,0,,7.0,direct,mobile,0
3235909,2,114,product,complete,26-35,18.58,30.58,local,17,creditcard,logged-in,0,1,,3.0,email,desktop,0
3134994,3,107,product,complete,,30.24,30.97,local,15,creditcard,guest,-99999,0,,7.0,paid,mobile,0
3279844,1,45,product,complete,,3.31,,non-eu/unknown,-1,instore,logged-in,721,0,6QZP,4.0,search engine,mobile,0
3159447,5,184,product,complete,18-25,,,local,18,creditcard,logged-in,800,0,928S,,,,0
3258613,4,131,product,complete,,,,local,-1,instore,guest,-99999,1,,,,,0
3057359,2,91,product,complete,26-35,22.57,,local,-1,instore,logged-in,921,0,X254,7.0,search engine,mobile,0
3278797,2,62,product,complete,26-35,24.72,31.93,local,17,creditcard,logged-in,580,0,Q7Y0,6.0,email,mobile,0
3169999,6,299,product,complete,,42.79,28.42,local,23,creditcard,logged-in,608,0,NZ9Z,8.0,direct,mobile,0
3130731,1,27,product,complete,,7.11,23.58,non-eu/unknown,23,creditcard,guest,-99999,0,,5.0,email,mobile,0
3142049,1,51,product,complete,18-25,12.29,25.53,local,15,creditcard,logged-in,-99999,0,,7.0,search engine,app,0
3110802,2,66,product,complete,,22.41,23.08,local,20,creditcard,guest,-99999,0,,3.0,direct,desktop,0
3205376,1,56,product,complete,,9.34,31.77,eu,16,creditcard,logged-in,136,0,JYYA,4.0,direct,desktop,0
3096334,1,39,product,complete,18-25,13.25,28.89,local,20,creditcard,logged-in,504,0,M0BQ,5.0,direct,desktop,0
3224744,2,126,product,complete,,16.86,,local,-1,3rd party,guest,-99999,0,,5.0,direct,desktop,0
3167494,1,68,product,complete,,9.28,25.22,local,16,creditcard,guest,-99999,2,,3.0,search engine,desktop,0
3019937,1,46,service,complete,,6.32,21.26,local,15,creditcard,logged-in,1088,1,UP79,6.0,email,mobile,0
3013335,2,76,product,complete,,16.89,31.38,local,18,creditcard,guest,-99999,0,,10.0,search engine,desktop,0
3245145,2,131,product,complete,,14.17,29.95,local,19,creditcard,logged-in,49,0,,8.0,direct,desktop,0
3016199,2,92,product,complete,,16.29,30.83,local,19,creditcard,logged-in,626,1,T76E,6.0,search engine,mobile,0
3297635,3,78,service,complete,,24.87,,local,-1,3rd party,guest,-99999,0,,8.0,search engine,mobile,0
3044979,1,52,product,complete,26-35,9.6,,local,0,creditcard,logged-in,1497,0,Q7Y0,3.0,paid,mobile,1
3074586,2,124,product,complete,,4.36,31.34,local,16,creditcard,logged-in,717,0,ME7O,4.0,direct,mobile,0
3297092,2,128,product,complete,,18.19,15.35,local,16,creditcard,logged-in,0,1,,4.0,email,mobile,0
3130301,1,32,service,complete,,7.0,26.25,local,16,creditcard,guest,-99999,0,,6.0,search engine,mobile,0
3275928,1,72,product,complete,,,,local,15,creditcard,logged-in,180,1,6QZP,,,,0
3168587,1,54,product,complete,,5.38,24.24,local,19,creditcard,logged-in,815,1,GK4Z,9.0,email,desktop,0
3233631,3,168,product,complete,,27.03,32.99,non-eu/unknown,16,creditcard,guest,-99999,2,,7.0,direct,desktop,0
3236397,1,49,product,complete,,6.71,31.43,local,26,creditcard,logged-in,0,0,,5.0,search engine,mobile,0
3057403,1,44,product,complete,,16.08,34.65,local,18,creditcard,guest,-99999,0,,8.0,direct,desktop,1
3010534,2,54,product,complete,,28.11,20.75,local,16,creditcard,logged-in,312,0,X254,6.0,direct,mobile,0
3032283,3,162,service,complete,,30.82,,non-eu/unknown,-1,3rd party,logged-in,751,0,JYYA,4.0,paid,mobile,0
3066264,1,50,product,complete,,10.15,,local,-1,4x,guest,-99999,0,,5.0,direct,mobile,0
3070494,2,77,product,complete,36-45,22.22,,local,-1,3rd party,logged-in,0,1,,1.0,search engine,app,0
3044536,1,36,product,complete,,10.08,31.6,eu,10,creditcard,guest,-99999,0,,4.0,search engine,mobile,0
3285671,3,96,product,complete,36-45,12.92,34.01,local,22,creditcard,logged-in,408,0,NZ9Z,8.0,direct,mobile,0
3213012,3,90,service,complete,,27.24,36.16,local,25,creditcard,guest,-99999,1,,6.0,direct,desktop,0
3034574,2,85,product,complete,,20.63,,non-eu/unknown,-1,3rd party,logged-in,845,1,6QZP,7.0,search engine,mobile,0
3056992,2,120,product,complete,18-25,16.78,27.14,local,19,creditcard,logged-in,651,1,928S,6.0,direct,app,0
3130166,1,40,product,complete,,7.5,26.25,local,22,creditcard,guest,-99999,1,,5.0,direct,desktop,0
3226231,3,151,product,complete,,42.92,37.14,local,16,creditcard,logged-in,547,3,GIKJ,3.0,search engine,mobile,0
3190249,1,34,product,complete,,10.09,33.55,local,15,creditcard,logged-in,1049,0,NZ9Z,4.0,direct,desktop,0
3142701,1,47,service,complete,,5.12,27.55,local,28,creditcard,guest,-99999,0,,3.0,search engine,mobile,0
3222057,5,314,product,complete,26-35,35.21,28.63,local,20,creditcard,logged-in,0,0,,5.0,direct,app,0
3129833,1,52,product,complete,,11.37,35.18,local,19,creditcard,guest,-99999,1,,4.0,search engine,mobile,0
3049063,3,84,product,complete,26-35,18.77,,local,-1,3rd party,logged-in,-99999,0,,7.0,search engine,app,0
3208729,4,129,product,complete,18-25,20.44,30.0,local,19,creditcard,logged-in,-99999,2,,8.0,paid,app,0
3279391,3,188,product,complete,,21.7,31.49,local,17,creditcard,logged-in,606,0,JYYA,8.0,direct,desktop,0
3000243,1,50,product,complete,,7.89,36.62,local,15,creditcard,logged-in,783,1,Q7Y0,4.0,email,mobile,0
3139164,2,73,product,complete,26-35,14.6,26.23,local,13,creditcard,logged-in,-99999,0,,4.0,search engine,app,0
3262461,2,140,product,complete,,24.53,38.87,local,19,creditcard,logged-in,910,0,AE1R,4.0,search engine,desktop,0
3219655,2,81,product,complete,,14.03,31.22,eu,15,creditcard,logged-in,667,0,I7IW,3.0,direct,desktop,0
3226794,2,60,product,complete,,,,local,15,creditcard,guest,-99999,0,,,,,0
